State,Median Income
Alabama,"51,113"
Alaska,"72,231"
Arizona,"61,125"
Arkansas,"48,829"
California,"69,759"
Colorado,"74,172"
Connecticut,"72,780"
Delaware,"62,318"
D.C.,"83,382"
Florida,"53,681"
Georgia,"57,016"
Hawaii,"73,575"
Idaho,"60,208"
Illinois,"64,609"
Indiana,"58,873"
Iowa,"63,481"
Kansas,"57,872"
Kentucky,"51,348"
Louisiana,"43,903"
Maine,"51,664"
Maryland,"81,084"
Massachusetts,"73,227"
Michigan,"57,700"
Minnesota,"71,920"
Mississippi,"43,441"
Missouri,"56,885"
Montana,"59,087"
Nebraska,"59,619"
Nevada,"56,550"
New Hampshire,"74,801"
New Jersey,"72,997"
New Mexico,"47,855"
New York,"62,447"
North Carolina,"50,343"
North Dakota,"59,886"
Ohio,"59,768"
Oklahoma,"55,006"
Oregon,"64,610"
Pennsylvania,"63,173"
Rhode Island,"66,390"
South Carolina,"54,971"
South Dakota,"56,894"
Tennessee,"55,240"
Texas,"59,295"
Utah,"71,319"
Vermont,"63,805"
Virginia,"71,293"
Washington,"75,418"
West Virginia,"45,392"
Wisconsin,"63,451"
Wyoming,"57,837"